song_link,song,lyrics,artist_name,Verbs,Nouns,Adverbs,Corpus
/lyric/35984628/The+Beatles/Blackbird,Blackbird,"Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise

Black bird singing in the dead of night
Take these sunken eyes and learn to see
All your life
You were only waiting for this moment to be free

Blackbird fly, blackbird fly
Into the light of the dark black night.

Blackbird fly, blackbird fly
Into the light of the dark black night.

Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise,
You were only waiting for this moment to arise,
You were only waiting for this moment to arise",The_Beatles,singe take break learn fly wait arise take sink learn see wait fly fly singe take break learn fly wait arise wait arise wait arise,blackbird dead night wing life moment bird singing dead night eye life moment blackbird fly blackbird light night blackbird fly blackbird light night blackbird dead night wing life moment moment moment,only only only only only,blackbird singe dead night break wing learn fly life wait moment arise black bird singing dead night sink eye learn life wait moment free blackbird fly blackbird fly light dark black night blackbird fly blackbird fly light dark black night blackbird singe dead night break wing learn fly life wait moment arise wait moment arise wait moment arise
/lyric/36392416/The+Beatles/My+Bonnie,My Bonnie,"My Bonnie lies over the ocean
My Bonnie lies over the sea
My Bonnie lies over the ocean
Oh bring back my Bonnie to me

My Bonnie lies over the ocean
My Bonnie lies over the sea
Well, my Bonnie lies over the ocean
Yeah, bring back my Bonnie to me

Yeah bring back, ah bring back
Oh bring back my Bonnie to me to me (to me)
(Ah bring) Oh bring back, ah bring back
Oh bring back my Bonnie to me

Well, my Bonnie lies over the ocean
My Bonnie lies over the sea
Yeah my Bonnie lies over the ocean
Oh, I said bring back my Bonnie to me

Yeah bring back, ah bring back 
Oh bring back my Bonnie to me to me (to me)
Oh bring back, ah bring back 
Oh bring back my Bonnie to me",The_Beatles,lie lie lie bring lie lie lie bring bring bring bring bring bring bring bring lie lie lie say bring bring bring bring bring bring bring,ocean sea ocean ocean sea ocean ocean sea ocean,back back back back back back back back back back back back back back back,Bonnie lie ocean Bonnie lie sea Bonnie lie ocean oh bring Bonnie Bonnie lie ocean Bonnie lie sea Bonnie lie ocean yeah bring Bonnie yeah bring ah bring oh bring Bonnie ah bring oh bring ah bring oh bring Bonnie Bonnie lie ocean Bonnie lie sea yeah Bonnie lie ocean oh say bring Bonnie yeah bring ah bring oh bring Bonnie oh bring ah bring oh bring Bonnie
/lyric/36255422/The+Beatles/Let+It+Be,Let It Be,"When I find myself in times of trouble, Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness she is standing right in front of me
Speaking words of wisdom, let it be

Let it be, let it be
Let it be, let it be
Whisper words of wisdom
Let it be

And when the broken-hearted people living in the world agree
There will be an answer, let it be
For though they may be parted, there is still a chance that they will see
There will be an answer, let it be

Let it be, let it be
Let it be, let it be
Yeah, there will be an answer
Let it be
Let it be, let it be
Let it be, let it be
Whisper words of wisdom
Let it be

Let it be, let it be
Let it be, yeah, let it be
Whisper words of wisdom
Let it be

And when the night is cloudy there is still a light that shines on me
Shine until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me
Speaking words of wisdom, let it be

Let it be, let it be
Let it be, yeah, let it be
There will be an answer
Let it be
Let it be, let it be
Let it be, yeah, let it be
There will be an answer
Let it be
Let it be, let it be
Let it be, yeah, let it be
Whisper words of wisdom
Let it be",The_Beatles,find come speak let stand speak let let let let let let break live agree will let may part will see will let let let let let will let let let let let let let let let let let shine shine let wake come speak let let let let let will let let let let let will let let let let let let,time trouble word wisdom hour darkness front word wisdom word wisdom people world answer chance answer answer word wisdom word wisdom night light tomorrow sound music word wisdom answer answer word wisdom,when right when still when still,find time trouble Mother Mary come speak word wisdom let hour darkness stand right speak word wisdom let let let let let whisp word wisdom let break hearted people live world agree answer let part chance answer let let let let let yeah answer let let let let let whisp word wisdom let let let let yeah let whisp word wisdom let night cloudy light shine shine tomorrow let wake sound music Mother Mary come speak word wisdom let let let let yeah let answer let let let let yeah let answer let let let let yeah let whisp word wisdom let
/lyric/36255456/The+Beatles/Maggie+Mae,Maggie Mae,"Oh dirty Maggie Mae they have taken her away
And she never walk down Lime Street any more
Oh the judge he guilty found her
For robbing a homeward bounder
That dirty no good robbin' Maggie Mae
To the port of Liverpool
They returned me to
Two pounds ten a week, that was my pay",The_Beatles,take walk find rob return,judge bounder robbin port pound week pay,away never more guilty,oh dirty Maggie Mae take away walk Lime Street oh judge guilty find rob homeward bounder dirty good robbin Maggie Mae port Liverpool return pound week pay
/lyric/36255433/The+Beatles/Old+Brown+Shoe,Old Brown Shoe,"I want a love that's right 
But right is only half of what's wrong
I want a short haired girl 
Who sometimes wears it twice as long
Now I'm stepping out this old brown shoe
Baby, I'm in love with you
I'm so glad you came here, it won't be the same now
I'm telling you

You know you pick me up 
From where some try to drag me down
And when I see your smile 
Replace every thoughtless frown
Got me escaping from this zoo
Baby, I'm in love with you
I'm so glad you came here, it won't be the same now 
When I'm with you

If I grow up I'll be a singer 
Wearing rings on every finger
Not worrying what they or you say 
I'll live and love and maybe someday
Who knows, baby, you may comfort me

I may appear to be imperfect
My love is something you can't reject
I'm changing faster than the weather 
If you and me should get together
Who knows, baby, you may comfort me

I want that love of yours
To miss that love is something I'd hate
I'll make an early start
I'm making sure that I'm not late

For you sweet top lip I'm in the queue
Baby, I'm in love with you
I'm so glad you came here, it won't be the same now 
When I'm with you
I'm so glad you came here, it won't be the same now 
When I'm with you",The_Beatles,want want wear step come will tell know pick try drag see replace got escape come will grow will wear worry say will live love know may comfort may appear can reject change should know may comfort want miss 'd hate will make make come will come will,love half girl shoe baby love smile frown zoo love singer ring finger baby love weather baby love love start lip queue love,only sometimes as long now so here now where when so here now when maybe someday fast together so here now when so here now when,want love right right half wrong want short haired girl wear twice long step old brown shoe baby love glad come will tell know pick try drag smile replace thoughtless frown got escape zoo Baby love glad come will grow singer wear ring finger worry live love maybe someday know baby comfort appear imperfect love reject change fast weather know baby comfort want love miss love hate early start make sure late sweet lip queue Baby love glad come will glad come will 
/lyric/36255478/The+Beatles/Martha+My+Dear,Martha My Dear,"Martha, my dear
Though I spend my days in conversation, please
Remember me
Martha, my love
Don't forget me
Martha, my dear

Hold your head up, you silly girl
Look what you've done
When you find yourself in the thick of it
Help yourself to a bit of what is all around you
Silly girl

Take a good look around you
Take a good look you're bound to see
That you and me were meant to be
With each other
Silly girl

Hold you're hand out, you silly girl
See what you've done
When you find yourself in the thick of it
Help yourself to a bit of what is all around you
Silly girl

Martha, my dear
You have always been my inspiration
Please, be good to me
Martha, my love
Don't forget me
Martha, my dear.",The_Beatles,spend remember forget hold look do find help take take bind see mean hold hand see do find help forget,dear day conversation love head girl thick bit girl look look girl girl thick bit girl dear inspiration love dear,up when when always,Martha dear spend day conversation remember Martha love forget Martha dear hold head silly girl look find thick help bit silly girl good look good look bind mean silly girl hold hand silly girl find thick help bit silly girl Martha dear inspiration good Martha love forget Martha dear 
/lyric/36255477/The+Beatles/Get+Back+%28In+German%29,Get Back (In German),"Rosetta (who are you talking about?)
Sweet Loretta Fart, she thought she was a cleaner
But she was a frying pan (Sweet Rosetta Martin, Rosetta)
The picker, the picker! 
Picture the fingers burning! (Ooh)
OK

Jojo was a man who thought he was a loner
But he knew it couldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo

Go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta ooh, ooh

Go home

Oh, get back, yeah, get back
Get back to where you once belonged
Yeah, get back, get back
Get back to where you once belonged

Get back, ooh
Thanks, Moe
I'd like to say thank you on behalf of the group and ourselves
And I hope we passed the audition",The_Beatles,talk think fry picture burn think know could last leave belong belong go belong belong think say get come get can belong belong go belong belong 'd like say thank hope pass,pan picker picker finger man loner home grass woman man girl behalf group audition,back back back where once back back back where once back home back back back where once back back back where once back back back back where once back back back where once back home back back back where once back back back where once back,Rosetta talk Sweet Loretta Fart think clean fry pan Sweet Rosetta Martin Rosetta picker picker picture finger burn ooh ok Jojo man think loner know Jojo leave home Tucson Arizona California grass belong belong Jojo home belong belong Jo Sweet Loretta Martin think woman man girl get come get belong belong Loretta ooh ooh home oh yeah belong yeah belong ooh thanks Moe like thank behalf group hope pass audition
/lyric/36255426/The+Beatles/One+After+909,One After 909,"My baby said she's trav'ling on the one after 909
I said move over honey I'm traveling on that line
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one after 909.

I begged her not to go and I begged her on my bended knees,
You're only fooling around, you're fooling around with me.
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one after 909.

I got my bag, run to the station
Railman says you've got the the wrong location
I got my bag, run right home
Then I find I've got the number wrong

Well she said she's trav'ling on the one after 909
I said move over honey I'm traveling on that line
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one after 909.

I got my bag, run to the station
Railman says you've got the the wrong location
I got my bag, run right home
Then I find I've got the number wrong

Well she said she's trav'ling on the one after 909
I said move over honey I'm traveling on that line
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one after 9-0,
Said she's trav'ling on the one after 9-0,
Said she's trav'ling on the one after 909.",The_Beatles,say trav'le say travel say move come say trav'le beg go beg fool fool say move come say trav'le get run say get get run find get say trav'le say travel say move come say trav'le get run say get get run find get say trav'le say travel say move come say trav'le say trav'le say trav'le,baby move honey line move baby ice knee move baby ice bag station location bag home number move honey line move baby ice bag station location bag home number move honey line move baby ice,over once over twice only over once over twice right then over once over twice right then over once over twice,baby say trav le 909 say honey travel line say twice come baby cold ice say trav le 909 beg beg bended knee fool fool say twice come baby cold ice say trav le 909 get bag run station Railman say get wrong location get bag run right home find get number wrong say trav le 909 say honey travel line say twice come baby cold ice say trav le 909 get bag run station Railman say get wrong location get bag run right home find get number wrong say trav le 909 say honey travel line say twice come baby cold ice say trav le 9 0 say trav le 9 0 say trav le 909 
/lyric/36255475/The+Beatles/Polythene+Pam,Polythene Pam,"Well, you should see Polythene Pam
She's so good-looking but she looks like a man
Well, you should see her in drag dressed in her polythene bag
Yes, you should see Polythene Pam
Yeah, yeah, yeah

Get a dose of her in jackboots and kilt
She's killer-diller when she's dressed to the hilt
She's the kind of a girl that makes the ""News of the World""
Yes, you could say she was attractively built
Yeah, yeah, yeah",The_Beatles,should see look look should see dress should see make could say build,man drag bag dose jackboot killer hilt kind girl,so good when attractively, Polythene Pam good look look like man drag dress polythene bag yes Polythene Pam yeah yeah yeah dose jackboot kilt killer diller dressed hilt kind girl make News World yes attractively build yeah yeah yeah
/lyric/36255474/The+Beatles/I+Want+You,I Want You,"I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me mad

I want you
I want you so bad, babe
I want you
I want you so bad
It's driving me mad
It's driving me mad

I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me mad

I want you
I want you so bad, babe
I want you
I want you so bad
It's driving me mad
It's driving me mad

She's so heavy
Heavy, heavy, heavy, heavy

I want you
I want you so bad
I want you
I want you so bad
It's driving me mad
It's driving me mad

I want you
I want you so bad, babe
I want you
You know I want you so bad
It's driving me mad
It's driving me mad

Yeah, she's so",The_Beatles,want want want want drive drive want want want want drive drive want want want want drive drive want want want want drive drive want want want want drive drive want want want know want drive drive,babe babe babe,so so so so so so so so so so so so so so,want want bad want want bad drive mad drive mad want want bad babe want want bad drive mad drive mad want want bad want want bad drive mad drive mad want want bad babe want want bad drive mad drive mad heavy heavy heavy heavy heavy want want bad want want bad drive mad drive mad want want bad babe want know want bad drive mad drive mad yeah 
